,CRe,DoubleCCRe,TripleCC,Bracket,Benzene,CycleRe,SingleCO,DoubleCO
772,12,1,1,6,0,0,2,0
773,11,0,0,0,0,1,6,0
774,7,1,0,2,0,0,2,0
775,6,2,0,0,0,0,0,0
776,12,0,2,1,0,0,1,1
777,9,0,0,0,1,0,1,1
778,11,1,1,1,0,1,2,0
779,5,0,1,2,0,0,1,0
780,8,0,1,1,0,0,2,1
781,12,0,1,0,0,0,0,3
782,11,2,0,1,0,1,1,1
783,12,0,0,6,0,0,3,1
784,10,2,1,0,0,0,2,1
785,12,2,0,0,0,1,0,1
786,12,0,0,0,0,0,1,1
787,12,1,0,2,0,0,0,1
788,10,3,0,0,0,0,2,1
789,11,0,2,3,0,0,1,1
790,12,0,0,5,0,1,4,0
791,11,0,0,0,0,0,8,0
792,12,0,1,2,0,0,0,3
793,10,0,3,1,0,1,0,0
794,7,2,0,3,0,0,0,0
795,11,1,1,5,0,0,2,0
796,12,1,0,3,0,1,0,0
797,10,0,0,1,0,0,5,1
798,6,0,0,1,0,0,1,0
799,12,0,0,0,0,1,2,0
800,12,0,2,2,0,0,2,1
801,12,1,0,4,0,1,1,0
802,12,0,0,0,0,2,0,0
803,10,0,0,3,0,0,0,1
804,12,1,0,2,0,0,5,0
805,7,3,0,1,0,0,0,0
806,7,0,0,1,0,0,4,1
807,11,1,2,0,0,1,0,0
808,9,1,0,1,0,1,1,0
809,10,0,0,2,0,1,0,1
810,12,0,0,4,0,1,3,1
811,9,3,0,0,0,0,1,0
812,12,1,1,0,0,1,1,2
813,8,0,2,2,0,0,0,1
814,9,0,4,0,0,0,0,0
815,10,0,1,3,0,0,1,0
816,10,0,2,1,0,0,3,1
817,6,0,0,1,0,0,1,1
818,8,0,1,0,0,1,0,1
819,10,0,0,3,0,0,5,0
820,9,1,0,1,0,0,0,1
821,8,1,0,0,0,0,4,0
822,12,0,0,1,0,1,2,0
823,6,1,1,0,0,0,1,0
824,12,0,3,2,0,0,4,0
825,11,0,1,1,0,0,2,0
826,12,1,0,2,0,2,2,0
827,11,0,1,2,0,0,4,1
828,10,0,1,0,0,0,3,1
829,12,1,0,0,0,0,6,1
830,11,1,1,2,0,1,1,0
831,12,0,3,0,0,1,2,0
832,12,3,0,0,0,0,4,1
833,8,0,0,1,0,0,1,2
834,12,3,0,1,0,1,2,0
835,12,4,1,0,0,0,0,0
836,12,0,1,1,0,0,3,0
837,12,1,0,1,0,1,2,1
838,8,0,0,0,0,1,0,1
839,12,0,1,0,1,1,1,0
840,11,2,1,2,0,0,1,0
841,7,0,0,1,0,0,4,0
842,9,0,0,0,1,1,0,0
843,9,1,0,5,0,0,1,0
844,6,0,0,1,0,1,0,1
845,12,0,0,1,0,0,2,0
846,12,0,0,3,0,0,0,1
847,10,1,0,0,0,0,3,2
848,9,0,2,2,0,1,0,0
849,12,0,2,2,0,0,6,0
850,12,0,2,3,0,0,0,2
851,12,0,1,1,0,0,1,2
852,10,0,0,0,0,1,1,0
853,9,0,0,3,0,1,0,0
854,11,0,0,5,0,0,0,3
855,10,1,0,3,0,0,5,0
856,8,0,0,4,0,0,3,0
857,12,4,2,0,0,0,0,0
858,11,0,0,0,0,1,4,1
859,12,0,1,0,1,0,3,0
860,10,2,2,1,0,0,1,0
861,10,0,0,0,0,0,1,3
862,11,1,2,5,0,0,0,0
863,12,0,0,2,0,1,0,3
864,9,0,0,4,0,0,0,2
865,10,1,0,4,0,0,0,0
866,11,4,0,0,0,0,3,0
867,12,3,0,2,0,0,4,0
868,12,0,0,1,1,1,1,0
869,12,3,0,0,0,1,1,1
870,11,1,0,1,1,0,1,0
871,10,0,3,2,0,0,0,1
872,11,3,1,0,0,0,2,0
873,8,0,0,0,0,1,4,0
874,8,0,1,1,0,0,5,0
875,12,0,1,0,0,2,3,0
876,6,0,0,5,0,0,1,0
877,12,2,0,0,0,0,2,3
878,10,0,0,1,0,0,2,1
879,5,1,0,0,0,0,1,0
880,7,0,0,1,0,0,3,1
881,12,0,0,2,0,2,3,0
882,10,0,0,1,0,1,1,1
883,12,0,0,2,0,1,0,2
884,12,1,1,2,0,1,0,0
885,11,1,0,0,1,0,1,0
886,9,0,0,4,0,0,0,0
887,11,0,0,5,0,0,2,0
888,9,0,2,1,0,0,0,0
889,11,2,0,6,0,0,1,0
890,12,2,2,0,0,0,0,1
891,12,1,1,4,0,0,1,0
892,12,0,2,4,0,0,0,1
893,10,2,1,1,0,0,0,0
894,12,2,1,5,0,0,0,0
895,12,0,0,3,0,1,3,1
896,11,0,0,0,1,0,1,2
897,12,0,2,0,0,0,5,0
898,11,1,1,2,0,1,1,0
899,3,1,0,1,0,0,0,0
900,11,2,0,3,0,1,0,0
901,11,0,3,3,0,0,0,0
902,12,0,0,5,0,0,1,2
903,12,0,3,5,0,0,0,0
904,11,0,0,2,0,1,0,1
905,8,0,0,0,0,0,1,0
906,10,0,0,0,0,2,1,1
907,8,2,0,1,0,0,0,0
908,5,0,0,1,0,0,2,0
909,11,0,0,0,0,0,1,3
910,7,0,2,0,0,0,0,1
911,11,0,0,3,0,0,4,2
912,10,0,0,5,0,0,1,1
913,11,0,0,5,0,0,1,0
914,10,0,2,0,0,0,0,1
915,11,4,0,0,0,0,1,0
916,6,0,0,0,0,0,4,1
917,11,0,2,3,0,0,0,0
918,12,0,0,1,0,1,1,2
919,11,2,2,1,0,0,0,0
920,10,0,4,0,0,0,1,0
921,11,1,1,0,0,0,5,1
922,12,0,2,2,0,0,4,1
923,6,0,0,0,0,1,1,1
924,10,0,2,1,0,0,1,0
925,9,1,0,0,1,0,1,0
926,11,1,0,2,0,1,0,2
927,10,1,1,1,0,0,0,2
928,11,0,0,3,0,2,2,0
929,7,0,0,0,0,1,4,0
930,11,2,1,0,0,0,3,0
931,12,0,3,3,0,1,0,0
932,12,3,0,1,0,0,3,0
933,11,0,0,0,0,1,3,2
934,7,1,0,0,0,1,1,0
935,12,0,0,1,0,0,1,1
936,12,4,0,1,0,0,1,0
937,10,0,1,0,1,0,0,1
938,11,0,2,1,0,0,0,2
939,12,2,1,1,0,0,2,0
940,9,2,0,1,0,0,1,0
941,11,0,0,3,0,0,3,0
942,12,0,0,4,0,2,0,1
943,10,0,0,3,0,0,1,1
944,12,1,0,1,0,0,4,0
945,12,1,1,3,0,0,1,1
946,7,0,1,2,0,0,0,1
947,10,1,0,1,0,0,1,2
948,11,1,0,2,0,0,3,1
949,12,4,0,1,0,0,0,1
950,9,0,0,1,1,0,1,0
951,10,0,0,3,0,1,3,0
952,9,1,0,3,0,0,2,1
953,9,1,0,1,0,1,2,0
954,11,0,0,0,0,0,0,1
955,7,2,0,0,0,0,3,0
956,11,2,0,3,0,0,0,1
957,12,0,0,0,0,2,2,2
958,8,2,0,3,0,0,0,0
959,10,0,2,4,0,0,1,0
960,11,2,0,0,0,0,1,0
961,5,0,1,0,0,0,3,0
962,10,0,1,0,0,0,5,0
963,12,0,3,0,0,1,3,0
964,12,0,2,3,0,0,3,0
965,8,0,0,1,0,1,1,0
966,10,0,0,0,0,0,3,2
967,11,0,1,0,0,0,4,2
968,11,0,0,2,0,0,9,0
969,11,0,1,0,0,1,0,1
970,10,0,0,0,0,0,4,1
971,11,0,0,1,1,1,1,0
972,12,0,1,6,0,0,1,0
973,2,0,0,1,0,0,1,0
974,10,1,0,0,1,0,2,0
975,11,0,0,2,1,0,0,1
976,11,1,0,1,0,0,8,0
977,10,0,0,1,0,0,9,0
978,12,1,1,0,0,1,2,0
979,12,3,0,1,0,0,5,0
980,12,0,0,1,0,2,4,0
981,12,0,0,5,0,0,0,2
982,11,1,0,1,0,0,1,2
983,7,1,0,2,0,0,1,0
984,12,1,0,4,0,0,0,0
985,12,1,0,1,0,1,4,1
986,12,0,1,1,1,0,1,1
987,10,2,0,0,0,1,2,0
988,10,0,2,4,0,0,1,0
989,5,0,2,0,0,0,0,0
990,10,1,0,0,0,1,2,1
991,12,0,0,1,0,2,5,0
992,6,0,0,0,0,0,2,2
993,5,0,0,0,0,1,2,0
994,11,0,1,5,0,1,0,0
995,12,0,0,3,0,0,1,2
996,12,0,2,2,0,1,0,0
997,11,1,2,0,0,0,1,0
998,11,2,1,1,0,0,0,2
999,8,0,0,5,0,0,1,1
